_Leaf_,code,DGNS_DESC,all_pc,all_cnt,leaf_total
0,,,,,416
1,N390,"urinary tract infection, site not specified",100,809,809
1,I10,essential (primary) hypertension,11.619283066,94,809
1,R300,dysuria,7.4165636588,60,809
1,R350,frequency of micturition,6.0568603214,49,809
1,N401,enlarged prostate with lower urinary tract symptoms,4.5735475896,37,809
1,R391,other difficulties with micturition,3.955500618,32,809
1,E785,"hyperlipidemia, unspecified",3.7082818294,30,809
1,N394,other specified urinary incontinence,3.5846724351,29,809
1,R339,"retention of urine, unspecified",2.9666254635,24,809
1,E559,"vitamin d deficiency, unspecified",2.8430160692,23,809
1,E039,"hypothyroidism, unspecified",2.7194066749,22,809
1,R319,"hematuria, unspecified",2.7194066749,22,809
1,N200,calculus of kidney,2.2249690977,18,809
1,R351,nocturia,2.1013597033,17,809
1,C61,malignant neoplasm of prostate,1.977750309,16,809
1,E782,mixed hyperlipidemia,1.977750309,16,809
1,Z798,other long term (current) drug therapy,1.977750309,16,809
1,R312,other microscopic hematuria,1.8541409147,15,809
1,R972,elevated prostate specific antigen [psa],1.8541409147,15,809
1,N183,"chronic kidney disease, stage 3 (moderate)",1.7305315204,14,809
1,R32,unspecified urinary incontinence,1.7305315204,14,809
1,N400,enlarged prostate without lower urinary tract symptoms,1.6069221261,13,809
1,Z000,encounter for general adult medical examination,1.6069221261,13,809
1,E780,pure hypercholesterolemia,1.4833127318,12,809
1,N952,postmenopausal atrophic vaginitis,1.4833127318,12,809
1,Z682,"body mass index (bmi) 20-29, adult",1.4833127318,12,809
1,N328,other specified disorders of bladder,1.3597033375,11,809
1,N393,stress incontinence (female) (male),1.3597033375,11,809
1,R538,other malaise and fatigue,1.3597033375,11,809
1,N281,"cyst of kidney, acquired",,,809
1,N811,cystocele,,,809
1,R311,benign essential microscopic hematuria,,,809
1,R730,abnormal glucose,,,809
1,N302,other chronic cystitis,,,809
1,Z874,personal history of diseases of genitourinary system,,,809
1,E538,deficiency of other specified b group vitamins,,,809
1,N300,acute cystitis,,,809
1,R109,unspecified abdominal pain,,,809
1,R310,gross hematuria,,,809
1,R829,other and unspecified abnormal findings in urine,,,809
1,R338,other retention of urine,,,809
1,E291,testicular hypofunction,,,809
1,N359,"urethral stricture, unspecified",,,809
1,N529,"male erectile dysfunction, unspecified",,,809
1,R103,pain localized to other parts of lower abdomen,,,809
1,R399,unsp symptoms and signs involving the genitourinary system,,,809
1,Z855,personal history of malignant neoplasm of urinary tract,,,809
1,E784,other hyperlipidemia,,,809
1,N760,acute vaginitis,,,809
1,C679,"malignant neoplasm of bladder, unspecified",,,809
1,N133,other and unspecified hydronephrosis,,,809
1,N138,other obstructive and reflux uropathy,,,809
1,N320,bladder-neck obstruction,,,809
1,Q610,congenital renal cyst,,,809
1,R309,"painful micturition, unspecified",,,809
1,R398,other symptoms and signs involving the genitourinary system,,,809
1,R739,"hyperglycemia, unspecified",,,809
1,R809,"proteinuria, unspecified",,,809
1,Z125,encounter for screening for malignant neoplasm of prostate,,,809
1,C672,malignant neoplasm of lateral wall of bladder,,,809
1,N309,"cystitis, unspecified",,,809
1,N520,vasculogenic erectile dysfunction,,,809
1,R799,"abnormal finding of blood chemistry, unspecified",,,809
1,Z014,encounter for gynecological examination,,,809
1,Z121,encntr screen for malignant neoplasm of intestinal tract,,,809
1,C641,"malignant neoplasm of right kidney, except renal pelvis",,,809
1,C649,"malignant neoplasm of unsp kidney, except renal pelvis",,,809
1,E079,"disorder of thyroid, unspecified",,,809
1,N201,calculus of ureter,,,809
1,N202,calculus of kidney with calculus of ureter,,,809
1,N301,interstitial cystitis (chronic),,,809
1,R358,other polyuria,,,809
1,Z136,encounter for screening for cardiovascular disorders,,,809
1,Z138,encounter for screening for oth diseases and disorders,,,809
1,Z854,personal history of malignant neoplasm of genital organs,,,809
2,N401,enlarged prostate with lower urinary tract symptoms,100,450,450
2,R351,nocturia,23.111111111,104,450
2,R391,other difficulties with micturition,19.777777778,89,450
2,R972,elevated prostate specific antigen [psa],19.555555556,88,450
2,R350,frequency of micturition,13.333333333,60,450
2,N529,"male erectile dysfunction, unspecified",8.2222222222,37,450
2,C61,malignant neoplasm of prostate,7.1111111111,32,450
2,N200,calculus of kidney,6.4444444444,29,450
2,N138,other obstructive and reflux uropathy,6,27,450
2,R339,"retention of urine, unspecified",5.7777777778,26,450
2,R310,gross hematuria,5.3333333333,24,450
2,R312,other microscopic hematuria,5.3333333333,24,450
2,I10,essential (primary) hypertension,4.6666666667,21,450
2,E291,testicular hypofunction,4.2222222222,19,450
2,N520,vasculogenic erectile dysfunction,3.7777777778,17,450
2,N328,other specified disorders of bladder,3.5555555556,16,450
2,N394,other specified urinary incontinence,3.1111111111,14,450
2,R319,"hematuria, unspecified",3.1111111111,14,450
2,N281,"cyst of kidney, acquired",2.8888888889,13,450
2,E785,"hyperlipidemia, unspecified",2.6666666667,12,450
2,N528,other male erectile dysfunction,,,450
2,C679,"malignant neoplasm of bladder, unspecified",,,450
2,R338,other retention of urine,,,450
2,E559,"vitamin d deficiency, unspecified",,,450
2,N400,enlarged prostate without lower urinary tract symptoms,,,450
2,Z000,encounter for general adult medical examination,,,450
2,Z874,personal history of diseases of genitourinary system,,,450
2,R300,dysuria,,,450
2,Z125,encounter for screening for malignant neoplasm of prostate,,,450
2,N320,bladder-neck obstruction,,,450
2,R311,benign essential microscopic hematuria,,,450
2,Z682,"body mass index (bmi) 20-29, adult",,,450
2,Z855,personal history of malignant neoplasm of urinary tract,,,450
2,N133,other and unspecified hydronephrosis,,,450
2,N183,"chronic kidney disease, stage 3 (moderate)",,,450
2,Q610,congenital renal cyst,,,450
2,R538,other malaise and fatigue,,,450
2,Z121,encntr screen for malignant neoplasm of intestinal tract,,,450
2,C649,"malignant neoplasm of unsp kidney, except renal pelvis",,,450
2,N201,calculus of ureter,,,450
2,N419,"inflammatory disease of prostate, unspecified",,,450
2,E039,"hypothyroidism, unspecified",,,450
2,E780,pure hypercholesterolemia,,,450
2,E782,mixed hyperlipidemia,,,450
2,N202,calculus of kidney with calculus of ureter,,,450
2,N300,acute cystitis,,,450
2,N359,"urethral stricture, unspecified",,,450
2,N402,nodular prostate without lower urinary tract symptoms,,,450
2,R103,pain localized to other parts of lower abdomen,,,450
2,R399,unsp symptoms and signs involving the genitourinary system,,,450
2,R739,"hyperglycemia, unspecified",,,450
2,E784,other hyperlipidemia,,,450
2,R398,other symptoms and signs involving the genitourinary system,,,450
2,R730,abnormal glucose,,,450
2,R809,"proteinuria, unspecified",,,450
2,R829,other and unspecified abnormal findings in urine,,,450
2,Z136,encounter for screening for cardiovascular disorders,,,450
2,Z138,encounter for screening for oth diseases and disorders,,,450
2,Z139,"encounter for screening, unspecified",,,450
2,Z798,other long term (current) drug therapy,,,450
2,Z804,family history of malignant neoplasm of genital organs,,,450
2,Z854,personal history of malignant neoplasm of genital organs,,,450
3,R350,frequency of micturition,100,267,267
3,R351,nocturia,16.479400749,44,267
3,R391,other difficulties with micturition,15.730337079,42,267
3,N394,other specified urinary incontinence,10.861423221,29,267
3,I10,essential (primary) hypertension,10.486891386,28,267
3,R312,other microscopic hematuria,7.1161048689,19,267
3,C61,malignant neoplasm of prostate,6.3670411985,17,267
3,E782,mixed hyperlipidemia,4.4943820225,12,267
3,N300,acute cystitis,4.1198501873,11,267
3,R300,dysuria,4.1198501873,11,267
3,E785,"hyperlipidemia, unspecified",,,267
3,R538,other malaise and fatigue,,,267
3,Z798,other long term (current) drug therapy,,,267
3,E039,"hypothyroidism, unspecified",,,267
3,N400,enlarged prostate without lower urinary tract symptoms,,,267
3,R972,elevated prostate specific antigen [psa],,,267
3,E559,"vitamin d deficiency, unspecified",,,267
3,Z000,encounter for general adult medical examination,,,267
3,Z874,personal history of diseases of genitourinary system,,,267
3,N328,other specified disorders of bladder,,,267
3,R829,other and unspecified abnormal findings in urine,,,267
3,Z854,personal history of malignant neoplasm of genital organs,,,267
3,E780,pure hypercholesterolemia,,,267
3,N393,stress incontinence (female) (male),,,267
3,N520,vasculogenic erectile dysfunction,,,267
3,N811,cystocele,,,267
3,R319,"hematuria, unspecified",,,267
3,Z125,encounter for screening for malignant neoplasm of prostate,,,267
3,E538,deficiency of other specified b group vitamins,,,267
3,N200,calculus of kidney,,,267
3,N952,postmenopausal atrophic vaginitis,,,267
3,R103,pain localized to other parts of lower abdomen,,,267
3,R32,unspecified urinary incontinence,,,267
3,R339,"retention of urine, unspecified",,,267
3,R730,abnormal glucose,,,267
3,Z682,"body mass index (bmi) 20-29, adult",,,267
3,C679,"malignant neoplasm of bladder, unspecified",,,267
3,E079,"disorder of thyroid, unspecified",,,267
3,E784,other hyperlipidemia,,,267
3,N281,"cyst of kidney, acquired",,,267
3,N301,interstitial cystitis (chronic),,,267
3,N302,other chronic cystitis,,,267
3,N309,"cystitis, unspecified",,,267
3,N419,"inflammatory disease of prostate, unspecified",,,267
3,N523,post-surgical erectile dysfunction,,,267
3,R399,unsp symptoms and signs involving the genitourinary system,,,267
3,R739,"hyperglycemia, unspecified",,,267
3,R799,"abnormal finding of blood chemistry, unspecified",,,267
3,R809,"proteinuria, unspecified",,,267
3,Z855,personal history of malignant neoplasm of urinary tract,,,267
3,N183,"chronic kidney disease, stage 3 (moderate)",,,267
3,N320,bladder-neck obstruction,,,267
3,N359,"urethral stricture, unspecified",,,267
3,N529,"male erectile dysfunction, unspecified",,,267
3,R109,unspecified abdominal pain,,,267
3,R311,benign essential microscopic hematuria,,,267
3,Z014,encounter for gynecological examination,,,267
3,Z121,encntr screen for malignant neoplasm of intestinal tract,,,267
3,Z138,encounter for screening for oth diseases and disorders,,,267
3,Z139,"encounter for screening, unspecified",,,267
3,Z804,family history of malignant neoplasm of genital organs,,,267
4,R300,dysuria,100,203,203
4,I10,essential (primary) hypertension,13.300492611,27,203
4,E785,"hyperlipidemia, unspecified",5.9113300493,12,203
4,E039,"hypothyroidism, unspecified",,,203
4,N300,acute cystitis,,,203
4,E559,"vitamin d deficiency, unspecified",,,203
4,R319,"hematuria, unspecified",,,203
4,R391,other difficulties with micturition,,,203
4,N952,postmenopausal atrophic vaginitis,,,203
4,R538,other malaise and fatigue,,,203
4,Z000,encounter for general adult medical examination,,,203
4,E782,mixed hyperlipidemia,,,203
4,R312,other microscopic hematuria,,,203
4,Z682,"body mass index (bmi) 20-29, adult",,,203
4,C61,malignant neoplasm of prostate,,,203
4,E784,other hyperlipidemia,,,203
4,N400,enlarged prostate without lower urinary tract symptoms,,,203
4,Z874,personal history of diseases of genitourinary system,,,203
4,E291,testicular hypofunction,,,203
4,E780,pure hypercholesterolemia,,,203
4,N302,other chronic cystitis,,,203
4,N309,"cystitis, unspecified",,,203
